det_by;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;Kallunki, JA ;;;;;;;
;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;Maas, PJM ;;;;;
;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, JC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;Maas, PJM ;;;;;
;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;Maas, PJM ;;;;;
;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, JC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;W. W. Thomas;Thomas, WW ;;;;;;;
;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;Maas, PJM ;;;;;
;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;Kallunki, JA ;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, JC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;Maas, PJM ;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, JC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;Kallunki, JA ;;;;;;;
;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;Maas, PJM ;;;;;
;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, D.M.;Johnson, DM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, JC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;Maas, PJM ;;;;;
;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;P. J. M. Maas;Maas, PJM ;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, JC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>;<NA>
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, JC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, J.C.;Lopes, JC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;J. A. Kallunki;Kallunki, JA ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;D. M. Johnson;Johnson, DM ;;;;;;;
